Date_Key,Full_Date,Flight_Year,Flight_Month,Flight_Month_Name,Flight_Day,Day_Of_Week_Name
20220224,2022-02-24,2022,2,February,24,Thursday
20220225,2022-02-25,2022,2,February,25,Friday
20220226,2022-02-26,2022,2,February,26,Saturday
20220227,2022-02-27,2022,2,February,27,Sunday
20220228,2022-02-28,2022,2,February,28,Monday
20220301,2022-03-01,2022,3,March,1,Tuesday
20220302,2022-03-02,2022,3,March,2,Wednesday
20220303,2022-03-03,2022,3,March,3,Thursday
20220304,2022-03-04,2022,3,March,4,Friday
20220305,2022-03-05,2022,3,March,5,Saturday
20220306,2022-03-06,2022,3,March,6,Sunday
20220307,2022-03-07,2022,3,March,7,Monday
20220308,2022-03-08,2022,3,March,8,Tuesday
20220309,2022-03-09,2022,3,March,9,Wednesday
20220310,2022-03-10,2022,3,March,10,Thursday
20220311,2022-03-11,2022,3,March,11,Friday
20220312,2022-03-12,2022,3,March,12,Saturday
20220313,2022-03-13,2022,3,March,13,Sunday
20220314,2022-03-14,2022,3,March,14,Monday
20220315,2022-03-15,2022,3,March,15,Tuesday
20220316,2022-03-16,2022,3,March,16,Wednesday
20220317,2022-03-17,2022,3,March,17,Thursday
20220318,2022-03-18,2022,3,March,18,Friday
20220319,2022-03-19,2022,3,March,19,Saturday
20220320,2022-03-20,2022,3,March,20,Sunday
20220321,2022-03-21,2022,3,March,21,Monday
20220322,2022-03-22,2022,3,March,22,Tuesday
20220323,2022-03-23,2022,3,March,23,Wednesday
20220324,2022-03-24,2022,3,March,24,Thursday
20220325,2022-03-25,2022,3,March,25,Friday
20220326,2022-03-26,2022,3,March,26,Saturday
20220327,2022-03-27,2022,3,March,27,Sunday
20220328,2022-03-28,2022,3,March,28,Monday
20220329,2022-03-29,2022,3,March,29,Tuesday
20220330,2022-03-30,2022,3,March,30,Wednesday
20220331,2022-03-31,2022,3,March,31,Thursday
20220401,2022-04-01,2022,4,April,1,Friday
20220402,2022-04-02,2022,4,April,2,Saturday
20220403,2022-04-03,2022,4,April,3,Sunday
20220404,2022-04-04,2022,4,April,4,Monday
20220405,2022-04-05,2022,4,April,5,Tuesday
20220406,2022-04-06,2022,4,April,6,Wednesday
20220407,2022-04-07,2022,4,April,7,Thursday
20220408,2022-04-08,2022,4,April,8,Friday
20220409,2022-04-09,2022,4,April,9,Saturday
20220410,2022-04-10,2022,4,April,10,Sunday
20220411,2022-04-11,2022,4,April,11,Monday
