iter	RMSE
0	77.69354762
1	77.60121678
2	77.5266948
3	77.45105962
4	77.39320874
5	77.34179396
6	77.29931069
7	77.26180666
8	77.22742292
9	77.19242612
10	77.16208582
11	77.13199875
12	77.10341172
13	77.07948763
14	77.05816196
15	77.03843576
16	77.02167887
17	77.00548638
18	76.99120433
19	76.9749177
20	76.96162958
21	76.9468077
22	76.93464584
23	76.92374325
24	76.91446102
25	76.90384872
26	76.89378061
27	76.88576032
28	76.8784625
29	76.87034297
30	76.86259729
31	76.85257491
32	76.84572781
33	76.84004486
34	76.83358667
35	76.8270834
36	76.82201489
37	76.81663365
38	76.81081889
39	76.8051438
40	76.80173805
41	76.79746357
42	76.79244776
43	76.78741519
44	76.78203439
45	76.77921065
46	76.77586232
47	76.77308228
48	76.76801038
49	76.76354192
50	76.76045751
51	76.75794334
52	76.75532091
53	76.75074815
54	76.74648883
55	76.74327218
56	76.73970515
57	76.73796709
58	76.73715405
59	76.73201135
60	76.7269962
61	76.72427817
62	76.72057561
63	76.71785946
64	76.71372563
65	76.71108616
66	76.70877117
67	76.70652849
68	76.70361077
69	76.7017602
70	76.698756
71	76.69644606
72	76.69321554
73	76.69194503
74	76.68943732
75	76.68658373
76	76.68392335
77	76.68238146
78	76.67862251
79	76.67628362
80	76.67253868
81	76.67148903
82	76.66919317
83	76.6668177
84	76.66537148
85	76.66232512
86	76.66057887
87	76.65816746
88	76.6561374
89	76.65612454
90	76.65392236
91	76.65257577
92	76.65145843
93	76.65129595
94	76.64733122
95	76.64533772
96	76.64318165
97	76.64235296
98	76.64022457
99	76.63785735
100	76.63664323
101	76.63502157
102	76.63368038
103	76.63327691
104	76.63129829
105	76.62870967
106	76.62735714
107	76.62599615
108	76.62314421
109	76.62308524
110	76.62305087
111	76.62239279
112	76.62193293
113	76.62058927
114	76.61680337
115	76.61432869
116	76.61308688
117	76.613076
118	76.61272099
119	76.61177857
120	76.60964456
121	76.60859608
122	76.60674479
123	76.60538041
124	76.60428979
125	76.60189705
126	76.60118695
127	76.60050702
128	76.59902929
129	76.59869361
130	76.59854302
131	76.59827584
132	76.59817528
133	76.59774079
134	76.59632385
135	76.59569924
136	76.59565854
137	76.59497831
138	76.59491312
139	76.59410308
140	76.59294857
141	76.59140283
142	76.59097169
143	76.5898672
144	76.58938769
145	76.58796731
146	76.58796684
147	76.58767875
148	76.58756611
149	76.58591782
150	76.58441806
151	76.58403641
152	76.58400529
153	76.58398986
154	76.58365451
155	76.58273004
156	76.58125068
157	76.57824008
158	76.5779643
159	76.57738002
160	76.57491191
161	76.57245444
162	76.57153467
163	76.56940222
164	76.5693737
165	76.56932208
166	76.56924549
167	76.56909472
168	76.56723645
169	76.56616294
170	76.56525195
171	76.56452475
172	76.56354438
173	76.56330238
174	76.5625318
175	76.56115671
176	76.56040973
177	76.56013841
178	76.55881673
179	76.55812594
180	76.55681347
181	76.55653852
182	76.5552808
183	76.55286444
184	76.55079485
185	76.5503669
186	76.54912838
187	76.54904122
188	76.54802775
189	76.54719372
190	76.54709242
191	76.54502678
192	76.54449659
193	76.54393172
194	76.54311195
195	76.54292705
196	76.54209436
197	76.54159997
198	76.54158686
199	76.54151638
200	76.54127107
201	76.54113346
202	76.54036476
203	76.53937998
204	76.53895686
205	76.53734218
206	76.53594496
207	76.53561844
208	76.53369836
209	76.5334786
210	76.53137889
211	76.53103947
212	76.53078239
213	76.53055455
214	76.53033379
215	76.52909785
216	76.52849755
217	76.52806351
218	76.52755354
219	76.5275366
220	76.52660494
221	76.52256645
222	76.52244609
223	76.52142046
224	76.52034186
225	76.51981061
226	76.51907607
227	76.51868976
228	76.51865929
229	76.51864738
230	76.51811376
231	76.51712717
232	76.51647079
233	76.51615233
234	76.51550084
235	76.51471743
236	76.51375759
237	76.51358878
238	76.51318273
239	76.51255256
240	76.51082456
241	76.51034806
242	76.50899481
243	76.50851364
244	76.5083093
245	76.5076068
246	76.50724184
247	76.50520612
248	76.50363581
249	76.50253012
250	76.50169048
251	76.50106632
252	76.49929935
253	76.49830721
254	76.4982076
255	76.49760637
256	76.49759562
257	76.49645217
258	76.49644499
259	76.49632974
260	76.49614154
261	76.49450344
262	76.49386639
263	76.49337949
264	76.49303084
265	76.49006686
266	76.48883311
267	76.48677678
268	76.48670982
269	76.48640388
270	76.48639576
271	76.48547915
272	76.4848281
273	76.48296674
274	76.48256533
275	76.48163708
276	76.48065858
277	76.48062069
278	76.48054522
279	76.48021415
280	76.48003811
281	76.47916541
282	76.47867116
283	76.47752025
284	76.47601946
285	76.47517255
286	76.47452372
287	76.47249692
288	76.47199269
289	76.47142817
290	76.46979446
291	76.46905725
292	76.46865189
293	76.46850582
294	76.46714078
295	76.46712287
296	76.46613047
297	76.46588982
298	76.46578158
299	76.46395511
300	76.46333241
301	76.46252305
302	76.46201658
303	76.4616745
304	76.46138351
305	76.4603837
306	76.46034729
307	76.46006868
308	76.45992857
309	76.45889742
310	76.45859758
311	76.45830323
312	76.45755963
313	76.45642714
314	76.45609519
315	76.45579533
316	76.45558062
317	76.45527058
318	76.45509607
319	76.45496708
320	76.45472171
321	76.45268031
322	76.45130676
323	76.45127434
324	76.45112701
325	76.44955438
326	76.44899764
327	76.44867312
328	76.44842206
329	76.44768541
330	76.4467074
331	76.44644968
332	76.44634607
333	76.44586361
334	76.44550335
335	76.44529699
336	76.44514443
337	76.44421105
338	76.44401286
339	76.44288168
340	76.44278531
341	76.44270184
342	76.44268099
343	76.4425631
344	76.44249454
345	76.44186143
346	76.44083926
347	76.44075622
348	76.44056334
349	76.43879605
350	76.4386181
351	76.43807929
352	76.43789973
353	76.43777621
354	76.4375772
355	76.43754695
356	76.4373709
357	76.43621213
358	76.43611469
359	76.43562261
360	76.43553743
361	76.43437742
362	76.4342875
363	76.43395199
364	76.43374872
365	76.43347849
366	76.43283422
367	76.43267067
368	76.4320623
369	76.43180147
370	76.43149406
371	76.4314374
372	76.43124011
373	76.43110863
374	76.43057443
375	76.42983159
376	76.42931446
377	76.42920528
378	76.42918866
379	76.42915372
380	76.42898776
381	76.42878705
382	76.42854395
383	76.42825855
384	76.42809888
385	76.4280618
386	76.42793491
387	76.4266777
388	76.42645124
389	76.42609081
390	76.42575703
391	76.42521448
392	76.42518813
393	76.42496476
394	76.42458309
395	76.42409486
396	76.42398987
397	76.42384626
398	76.42321581
399	76.42271711
400	76.42090774
401	76.42083191
402	76.41973857
403	76.41931107
404	76.41907823
405	76.4185477
406	76.41839401
407	76.41826774
408	76.41738887
409	76.41713035
410	76.41701752
411	76.4149264
412	76.41458571
413	76.41423747
414	76.41392814
415	76.41380756
416	76.41378387
417	76.41303468
418	76.41205438
419	76.41055872
420	76.41019168
421	76.40985545
422	76.40971512
423	76.40926579
424	76.40877112
425	76.40856554
426	76.40764166
427	76.40761988
428	76.40731934
429	76.40702033
430	76.40499051
431	76.40455559
432	76.4045446
433	76.40439729
434	76.40399818
435	76.40366229
436	76.40364345
437	76.40353427
438	76.40351688
439	76.40217785
440	76.4009814
441	76.40092772
442	76.40082494
443	76.39914274
444	76.39889655
445	76.39830057
446	76.39792892
447	76.39774481
448	76.39694172
449	76.39651706
450	76.3962315
451	76.39578364
452	76.39544414
453	76.39516721
454	76.39503967
455	76.39478357
456	76.39405748
457	76.39329437
458	76.39315987
459	76.3931224
460	76.39162514
461	76.39137392
462	76.39109551
463	76.39093646
464	76.39064626
465	76.39021651
466	76.3896616
467	76.38954591
468	76.38952436
469	76.38940771
470	76.38871196
471	76.38821696
472	76.38748582
473	76.38678773
474	76.38513371
475	76.38508618
476	76.38481489
477	76.38353682
478	76.38311034
479	76.38195496
480	76.38193179
481	76.38179149
482	76.3800648
483	76.37892089
484	76.37851871
485	76.37806299
486	76.37789529
487	76.37764228
488	76.37751765
489	76.37729357
490	76.37684714
491	76.37684024
492	76.37585489
493	76.37581524
494	76.37570015
495	76.37554073
496	76.3754865
497	76.37514983
498	76.37502274
499	76.37482045
500	76.37470536
501	76.37387471
502	76.37364875
503	76.37311392
504	76.37301114
505	76.37299331
506	76.3728075
507	76.37173862
508	76.37126408
509	76.37121009
510	76.37058886
511	76.36955002
512	76.36908184
513	76.36885442
514	76.36828645
515	76.36820466
516	76.36777795
517	76.36759301
518	76.36749876
519	76.36730775
520	76.3670841
521	76.36706666
522	76.36677717
523	76.36630763
524	76.366216
525	76.3657938
526	76.36546315
527	76.36530188
528	76.36497734
529	76.3646006
530	76.36449988
531	76.36413024
532	76.36411118
533	76.36351174
534	76.36331192
535	76.36236753
536	76.36162633
537	76.36157587
538	76.36093014
539	76.36065524
540	76.36040779
541	76.35976932
542	76.3595834
543	76.35956993
544	76.3591747
545	76.35909292
546	76.35825106
547	76.35816414
548	76.35806015
549	76.35746764
550	76.35695923
551	76.35644287
552	76.35616957
553	76.35407976
554	76.35406507
555	76.35373386
556	76.35366603
557	76.35293444
558	76.35220958
559	76.35193871
560	76.35167536
561	76.3516698
562	76.35131347
563	76.35122014
564	76.35034301
565	76.34971461
566	76.34906402
567	76.34879196
568	76.3486644
569	76.34803501
570	76.34703122
571	76.34654886
572	76.34642493
573	76.34530899
574	76.34453833
575	76.34450552
576	76.344106
577	76.34320239
578	76.34267942
579	76.34261043
580	76.34214118
581	76.3416729
582	76.34129981
583	76.34089236
584	76.33999966
585	76.33972931
586	76.33939222
587	76.33909239
588	76.33903334
589	76.33898842
590	76.3389768
591	76.33865909
592	76.33841233
593	76.33840276
594	76.33804134
595	76.3366166
596	76.33648764
597	76.33624342
598	76.33619761
599	76.33553619
600	76.33518208
601	76.33455208
602	76.33386099
603	76.33378877
604	76.33350506
605	76.33347289
606	76.33341468
607	76.33292115
608	76.33259587
609	76.3325279
610	76.33190797
611	76.33167955
612	76.33166573
613	76.33090914
614	76.33058099
615	76.33056999
616	76.32997789
617	76.32996358
618	76.32955956
619	76.32933598
620	76.32897792
621	76.32857727
622	76.32838696
623	76.32836952
624	76.32831251
625	76.32799469
626	76.32767124
627	76.32647329
628	76.32629255
629	76.32539766
630	76.32529043
631	76.32527925
632	76.32512089
633	76.32370536
634	76.32365582
635	76.3229887
636	76.32279839
637	76.32248442
638	76.32191046
639	76.32176617
640	76.32151252
641	76.32130595
642	76.3206341
643	76.32002356
644	76.31988741
645	76.31945558
646	76.31860606
647	76.31795828
648	76.31793145
649	76.31697443
650	76.31660237
651	76.31628992
652	76.31566051
653	76.3143485
654	76.3124532
655	76.31234376
656	76.31230343
657	76.31222692
658	76.3120337
659	76.31143565
660	76.31136955
661	76.31116069
662	76.30940801
663	76.30890805
664	76.30869978
665	76.30784237
666	76.3077879
667	76.30703391
668	76.30498605
669	76.30367727
670	76.30332399
671	76.30307958
672	76.30096064
